Adam	A Dong
boat, ship	chiếc tàu thủy
ship	chiếc tầu
a very (too) short skirt	chiếc váy ngắn cũn cỡn
car	chiếc xe
bus	chiếc xe buýt
police car	chiếc xe cảnh sát
ambulance	chiếc xe cứu thương
car, automobile	chiếc xe hơi
new car	chiếc xe mới
garbage truck	chiếc xe rác
garbage truck	chiếc xe xúc rác
a beige raincoat	chiếc áo mưa màu be
to make up 80%	chiếm 80 phần trăm
to occupy, take up, make up, seize, take possession, gain, usurp, win	chiếm
to occupy forcefully, take possession of, seize	chiếm cứ
appropriate	chiếm dụng
to appropriate, withhold	chiếm giữ
to hold, own, possess	chiếm hữu
to appropriate, take possession of, conquer, vanquish	chiếm lĩnh
to play a vital role	chiếm một vai trò quan trọng
to make up a majority	chiếm phần lớn
to make up approximately 25%	chiếm vào khoảng 25%
to occupy an important position	chiếm vị trí quan trọng
to make up a 2/3 majority	chiếm đa số 2/3
to make up the majority	chiếm đa số
to appropriate, usurp, seize	chiếm đoạt
to seize VN’s territorial waters	chiếm đoạt hải phận Vietnamese
to seize property, assets	chiếm đoạt tài sản
to occupy (territory); occupation	chiếm đóng
to get 60% of the vote	chiếm được hơn 60% phiếu
to be predominant	chiếm ưu thế
(1) conflict, war; (2) good, terrific	chiến
combatant, fighter, soldier	chiến binh
war dress	chiến bào
defeated, vanquished	chiến bại
political struggle	chiến chính trị
struggle, conflict, fight, war	chiến chống
war	chiến cuộc
feat of arms, prowess	chiến công
glorious feats	chiến công oanh liệt
war material	chiến cụ
campaign, movement, operation, action, program, activities	chiến dịch
cultural revolution	chiến dịch văn hóa
warship, battleship	chiến hạm
the scourge of war, war	chiến họa
comrade-in-arms	chiến hữu
line, system of defense works	chiến lũy
strategy, strategic	chiến lược
upgrade strategy	chiến lược nâng cấp
political strategy	chiến lưực chính trị
booty	chiến lợi phầm
war-horse, charger, steed	chiến mã
best	chiến nhất
art of war	chiến pháp
cost of war	chiến phí
warring states	chiến quốc
fighter, warrior	chiến sĩ
brave, courageous fighter	chiến sĩ can trường
a fighter for human rights	chiến sĩ quyền nhân
war history	chiến sử
war of nerves	chiến tanh cân não
warship, gunboat	chiến thuyền
tactic(s)	chiến thuật
fundraising tactics	chiến thuật gây quỹ
ultimatum, declaration of war	chiến thư
wounded in action	chiến thương
to win victory over, triumph over; victory	chiến thắng
war, conflict	chiến tranh
Korean War	chiến tranh Cao Ly
Vietnam war, conflict	chiến tranh Việt Nam
Persian Gulf War	chiến tranh Vịnh Ba Tư
blitzkrieg	chiến tranh chớp nhoáng
a war of nerves	chiến tranh cân não
modern warfare	chiến tranh cận đại
localized war	chiến tranh cục bộ
guerrilla war(fare)	chiến tranh du kích
the Cold War	chiến tranh lạnh
nuclear war	chiến tranh nguyên tử
the war of opium	chiến tranh nha phiến
hot war, shooting war	chiến tranh nóng
Second World War, World War II	chiến tranh thế giới thứ hai
First World War, World War I	chiến tranh thế giới thứ nhất
(Persian) Gulf war	chiến tranh vùng Vịnh
the war ended a long time ago	chiến tranh đã chấm dứt từ lâu
local war, regional conflict	chiến tranh địa phương
battlefield, battleground	chiến trường
battle, engagement	chiến trận
warship	chiến tàu
exploit of arms, feat of arms	chiến tích
general, military leader	chiến tướng
combat unit	chiến đoàn
to fight, struggle	chiến đấu
fighter (plane), warplane	chiến đấu cơ
to fight with, struggle with	chiến đấu với
battlefield, battleground	chiến địa
action, campaign	chiến địch
direction	chiếng
peep, cheep	chiếp chiếp
(1) to deduct, take off, reduce; (2) to graft (a plant)	chiết
discount	chiết khấu
refringent	chiết quang
discount	chiết suất
eclectic	chiết trung
to extract	chiết xuất
(1) projection; to project, show, air (a program); (2) sleeping mat; (3) to shine	chiếu
cinema, movie	chiếu bóng
to collimate	chiếu chuẩn
collimater	chiếu chuẩn cơ
to live as husband and wife	chiếu chăn
royal, imperial edict or proclamation	chiếu chỉ
to patronize, pay attention to, take care of, consider, make allowance for, patronize	chiếu cố
track down	chiếu danh
imperial order	chiếu dụ
visa	chiếu hội
visa	chiếu khán
according to the laws	chiếu luật
for the sake of formality	chiếu lệ
piece of sleeping mat	chiếu manh
film showing; to show a film	chiếu phim
illuminate	chiếu rọi
to illuminate, light	chiếu sáng
in accordance with, according to, as per	chiếu theo
according to the new agreement	chiếu theo thỏa hiệp mới
imperial edict, papal letter, brief	chiếu thư
to irradiate	chiếu xạ
according to the case	chiếu án
X-ray	chiếu điện
to shine a lamp	chiếu đèn
to shine a flashlight	chiếu đèn pin
pagoda	chiền
clearly	chiền chiền
skylark	chiền chiện
(1) afternoon (late), early evening; direction; p.m.; (2) direction, course, manner	chiều
height	chiều cao
to coddle, pamper	chiều chuộng
length	chiều dài
afternoon	chiều giờ
near sunset, evening	chiều hôm
that evening	chiều hôm đó
direction, tendency, trend	chiều hướng
to please, satisfy	chiều lòng
to satisfy customers	chiều lòng khách hàng
this afternoon	chiều nay
width, breadth	chiều ngang
the afternoon (of the day)	chiều ngày
this afternoon	chiều này
width	chiều rộng
depth	chiều sâu
Saturday afternoon	chiều thứ bảy
weather	chiều trời
decline of day, even tide, sunset	chiều tà
nightfall, dusk, twilight	chiều tối
to defer, yield	chiều ý
that afternoon	chiều đó
to take into account, consider	chiểu
Chinese (person)	chiệc
add, give; to, for; to say, claim; in order to; let, allow, permit	cho
to give someone a general outline, an overview	cho ai biết đại cương
for anyone (at all)	cho ai cả
for you	cho anh
to announce, report, provide information, tell, make known	cho biết
to unofficially report	cho biết không chính thức
to give a reason (why)	cho biết nguyên nhân
to provide more details	cho biết thêm về chi tiết
to satisfy one’s hatred	cho bõ ghét
to satisfy one’s anger	cho bõ giận
to breastfeed, nurse	cho bú
for anyone, for anybody	cho bất cứ ai
equal to, as much as	cho bằng
as much as now, as much as this moment	cho bằng lúc này
at all costs	cho bằng được
for oneself	cho chính mình
to make sure, be sure	cho chắc
it serves him right	cho chết
although, even though	cho dù
to announce	cho hay
to give away	cho không
in time	cho kịp
to keep someone hanging, waiting	cho leo cây
very much	cho lắm
for you (familiar)	cho mày
to oneself, for oneselfoneself, for oneself	cho mình
to make us happy	cho mình vui lòng
for rent, for hire	cho mướn
to loan, lend	cho mượn
to let everyone know	cho mọi người biết
for each person	cho mỗi người
to do scientific research	cho nghiên cứu
to let people know	cho người ta biết
that is why, therefore, hence, because	cho nên
to state, report	cho nói
to permit, allow, authorize, give permission (to do something)	cho phép
to let pass, gloss over, ignore	cho qua
for form’s sake, perfunctorily	cho qua chuyện
to get used to sth	cho quen
to let go, abandon	cho re
to say (that), state (that)	cho rằng
for the sake of peace and quiet, to be happy	cho rồi
to give me	cho tao
for rent	cho thuê
to give an example	cho thí dụ
to report, say, show, illustrate, point out	cho thấy
for future generations	cho thế hệ mai sau
for all of Vietnam	cho toàn cõi Việt Nam
for me, to me	cho tôi
to show me, teach me	cho tôi biết
told me right away	cho tôi biết ngay
for the future	cho tương lai
until, up to	cho tới
(up) until now	cho tới bây giờ
until afternoon	cho tới chiều
to death	cho tới chết
until this time tomorrow night	cho tới giờ này tối mai
until almost morning	cho tới gần sáng
until the time when	cho tới khi
until (the time, moment) that	cho tới khi nào
until now	cho tới nay
until now, up until now	cho tới ngày nay
until what date	cho tới ngày nào
up until the year ~	cho tới năm
for every American	cho từng người Mỹ
to lend, loan	cho vay
usury	cho vay nặng lãi
to lend, loan money	cho vay tiền
for fun	cho vui
to have a car towed	cho xe kéo
once and for all	cho xong
to give, add one’s opinion	cho ý kiến
to feed, give somebody something to eat	cho ăn
not to have the heart to do something	cho đang
to give a grade	cho điểm
to state, announce	cho đó
to ask someone to bring	cho đưa
so as to, in order to, at any price, at all	cho được
up to, into	cho đến
until now	cho đến bây giờ
until (the time when)	cho đến chừng nào
until that time, until then	cho đến chừng đó
until one grows old	cho đến già
until recently	cho đến gần đây
until today	cho đến hôm nay
until day, up until now	cho đến hôn nay
until when, until that time	cho đến khi
until	cho đến khi nào
until late at night	cho đến khuya
until the time, point when	cho đến lúc
until then, until that time	cho đến lúc bấy giờ
until that moment	cho đến lúc đó
until one day	cho đến một ngày
to what extent	cho đến mức nào
as yet, up until now	cho đến nay
until morning	cho đến sáng
until the time (period)	cho đến thời
up until this time	cho đến thời điểm này
into the future	cho đến tương lai
forever, for all eternity	cho đến đời đời
teenaged, not-fully grown up	choai choai
to (give a) cry, scream, yell	choai choái
slightly split open	choai choãi
brightly lit	choang
to croak	choang choác
peal, ringing, clanging	choang choảng
shrill, strident	choe chóe
bright red	chon chót
to keep lit, lighted	chong
pinwheel-propeller	chong chóng
to dive, stretch oneself to the full	choài
(1) to throw over; (2) to wake up suddenly	choàng
squawk	choác choác
support (for climbers)	choái
dazzling	choáng
swanky and shining	choáng lộn
dazzling	choáng mắt
dizzy, bewildered	choáng người
dazzling, stunning; dizzy	choáng váng
unnoticeably shallow	choèn
too small to be noticed, very small	choèn choèn
crow-bar	choòng
tiny	choăn choắt
stumble or stagger along	choại
to hit, beat	choảng
to hit each other	choảng nhau
stunted, dwarfed	choắt
see châu	chu
context	chu cảnh
to be a globe-trotter, do globe-trotting	chu du
cycle, period	chu kỳ
decay period	chu kỳ hủy biến
menstruation	chu kỳ kinh nguyệt
to pucker one’s mouth	chu mỏ
anniversary, jubilee	chu niên
cinnabar	chu sa
to meet, fulfill; whole, fully discharged	chu toàn
to meet one's financial obligations	chu toàn các nghĩa vụ tài chánh
circular	chu tri
(recurrent) cycle	chu trình
edge, perimeter, circumference	chu vi
thorough, circumspect	chu đáo
acid, tart, sour, sharp	chua
sharp	chua chát
very sour	chua loét
oxalis	chua me
wood-sorrel	chua me đất
talkative	chua ngoa
bittersweet	chua ngọt
as sour as vinegar	chua như giấm
heart-rending, painfully sad	chua xót
(1) illegal, not legal; (2) to creep, climb	chui
to slip in, steal in	chui lọt
steal away	chui lủi
to exit	chui ra
to huddle (into a cramped place)	chui rúc
to enter into, climb into	chui vào
elastic	chun
short, tiny	chun chủn
common, mutual, combined, together	chung
invest money with someone else	chung chân
to share; in common	chung chạ
end, conclusion	chung cuộc
apartment house, housing commission	chung cư
final examination	chung khảo
final (round in sports), finale	chung kết
to join forces (with somebody), combine or unite	chung lưng
to have in common (with each other)	chung nhau
roommate	chung phòng
around, surrounding, adjacent, about; surrounding area, neighborhood	chung quanh
in the last analysis, on the whole	chung quy
to live together	chung sống
to live with each other	chung sống cùng nhau
entire life, lifelong, for life	chung thân
constant, loyal, faithful	chung thủy
steadfast, loyal, faithful (love, sex)	chung tình
to invest money (by pooling it together)	chung vốn
together with	chung với
to crystallize	chung đúc
prosperity, well-being	chung đỉnh
to clash, share with other people	chung đụng
(1) to transfer, transport, carry; (2) to concentrate on, specialize in, focus on	chuyên
specializing in the growing of some plant	chuyên canh
absolutism	chuyên chính
absolute, autocratic	chuyên chế
to transport	chuyên chở
special aircraft	chuyên cơ
specialized company	chuyên doanh
specially made for	chuyên dùng
specialized, dedicated	chuyên dụng
specialist, expert	chuyên gia
security expert	chuyên gia bảo mật
economics expert	chuyên gia kinh tế
to specialize	chuyên hóa
specialty, advanced and specialized	chuyên khảo
to specialize	chuyên la
professional knowledge, profession skill, specialty; to specialize	chuyên môn
to make specialized, make into specialist	chuyên môn hóa
column	chuyên mục
profession, trade, vocation, specialty; professional	chuyên nghiệp
limited specialty	chuyên ngành
arbitrary, dictatorial, autocratic, despotic	chuyên quyền
special issue	chuyên san
specialty magazine	chuyên trang
to be responsible	chuyên trách
to be a specialist in	chuyên trị
expert, specialist	chuyên viên
to concentrate on, specialize in	chuyên về
investigation into a robbery or a mysterious crime	chuyên án
journey, trip, voyage	chuyến
flight (of a plane)	chuyến bay
official trip	chuyến công du
trip, visit	chuyến thăm viếng
trip	chuyến viếng thăm
trip, voyage, journey	chuyến đi
the journey takes a day	chuyến đi phải mất một ngày
to pass a ball	chuyền bóng
to pass from hand to hand	chuyền tay
to take, transfer, move, transmit, convert, change, pass, shift, switch (over)	chuyển
to arrange (a piece of music)	chuyển biên
to change, evolve	chuyển biến
profound change	chuyển biến sâu xa
to start off (of a vehicle)	chuyển bánh
recede (of illness)	chuyển bệnh
to move, transfer	chuyển di
to begin labor	chuyển dạ
to transfer, hand over	chuyển dịch
to move (from one position to another)	chuyển dời
to hand over, transfer	chuyển giao
arms trafficking	chuyển giao vũ khí
packet switching	chuyển gói
to send	chuyển gửi
to commute; commute, switchover, exchange, conversion	chuyển hoán
convert, metabolic	chuyển hóa
metabolic activation	chuyển hóa hoạt hóa
bone remodeling	chuyển hóa xương
to change, move direction	chuyển hướng
reincarnation	chuyển hồi
transfer (of money)	chuyển khoản
to change channels	chuyển kênh
to transfer, send a packet	chuyển lá thư điện tử
to smuggle	chuyển lậu
to change comprehensively, change vigorously	chuyển mình
switching	chuyển mạch
roaming (between networks)	chuyển mạng
international roaming	chuyển mạng quốc tế
to be demobilized and given a post as civil servant	chuyển ngành
to translate	chuyển ngữ
to transfer	chuyển nhượng
to admit (to a place); to move	chuyển qua
to admit into the hospital	chuyển qua bệnh viện
rotate, rotation (of troops)	chuyển quân
to translate into	chuyển sang
to translate into French	chuyển sang Pháp Ngữ
to translate into Vietnamese	chuyển sang Việt ngữ
to send mail	chuyển thư
to adapt	chuyển thể
to transfer data, data transfer	chuyển tin tức
to change, transition, forward (a letter)	chuyển tiếp
to exchange money	chuyển tiền
to transfer responsibility	chuyển trách nhiệm
to transport, carry, transfer	chuyển tải
high speed transport	chuyển tải cao tốc
to transliterate	chuyển tự
to transport, set in motion	chuyển vận
change the member of an equation	chuyển vế
to transpose	chuyển vị
to transliterate	chuyển âm
to transmit, communicate (higher level’s ideas, orders)	chuyển đạt
send, remit, transmit, forward, care of	chuyển đệ
to shift, convert; conversion	chuyển đổi
to move, transmit, agitate, disturb	chuyển động
perpetual motion	chuyển động bất tuyệt
kinematics	chuyển động học
orogenic movement, mountain building movement	chuyển động lập núi
trip, journey	chuyễn viếng
story, conversation, situation, issue, matter; to talk, converse, communicate	chuyện
public issue, public matter	chuyện chung
dirty story	chuyện con heo
personal matter, personal issue	chuyện cá nhân
it’s a long story	chuyện còn dài
other peoples’ business	chuyện của người ta
gossip	chuyện dài
it’s a long story	chuyện dài lắm
easy thing to do	chuyện dễ
what (thing, issue)	chuyện gì
anything else	chuyện gì nữa
what is it, what’s the matter	chuyện gì vậy
it’s a (bit of a) long story	chuyện hơi dài
something else	chuyện khác
something difficult	chuyện khó
joke	chuyện khôi hài
strange, new story	chuyện lạ
extramarital affair, adultery	chuyện ngoại
exception	chuyện ngoại lệ
extramarital affair, adultery	chuyện ngoại tình
what happened today	chuyện ngày hôm nay
short story	chuyện ngắn
an untruthful story	chuyện nhãm nhí
this (matter)	chuyện này
being in debt	chuyện nợ nần
crazy story, messed up story	chuyện phi lý
idle talk	chuyện phiếm
secondary issue	chuyện phụ
important matter	chuyện quan trọng
private matter, personal matter	chuyện riêng
common thing, everyday thing, nothing special	chuyện rất thường
matter of life and death	chuyện sống chết
everyone’s business	chuyện thiên hạ
common thing, nothing unusual	chuyện thường
natural thing, normal thing	chuyện thường tình
the first thing, the first matter	chuyện thứ nhất
opposite (thing, situation)	chuyện trái ngược
to converse, talk, chat	chuyện trò
the issue before us now is	chuyện trước mặt bây giờ là
inborn talent, god-given gift	chuyện trời cho
love story	chuyện tình
silly thing, foolish thing	chuyện vớ vẩn
an old story	chuyện xưa
love story	chuyện ái ân
eating, food	chuyện ăn
something worth worrying about, concern	chuyện đáng lo
that (thing, issue)	chuyện đó
first thing	chuyện đầu tin
that (thing, issue)	chuyện ấy
a not serious story	chuyện ỡm ờ
puddle, pool (in fields)-branch dipped in water (for fish to live	chuôm
bell	chuông
(door)bell, buzzer	chuông bấm
death-bell	chuông cáo phó
ring (of a bell)	chuông reo
the bell rings	chuông rung
bell (of a telephone)	chuông điện thoại
the phone rings	chuông điện thoại reo
to agree, approve, allow; standard	chuẩn
to prepare, make ready; preparation; ready	chuẩn bị
to make, prepare breakfast	chuẩn bị bữa sáng
to prepare for the worst	chuẩn bị cho trường hợp trắc trở
careful preparation; to prepare carefully	chuẩn bị cẩn thận
to prepare ahead of time, get ready ahead of time	chuẩn bị từ trước
to prepare (to have sth happen)	chuẩn bị để
to authorize (some expenditure)	chuẩn chi
to agree to provide	chuẩn cấp
proof, test, criterion	chuẩn cứ
standardization	chuẩn hóa
open standard	chuẩn mở
accept, approve	chuẩn nhận
brigadier general	chuẩn tướng
regulation, by-law	chuẩn tắc
accurate	chuẩn xác
to approve, grant	chuẩn y
candidate officer, student officer, warrant officer	chuẩn úy
diagnosis	chuẩn đoán
goal, norm	chuẩn đích
standard, title (of gold), grade content (of ore)	chuẩn độ
to take pains to get, go to any lengths to get	chuốc
to invite bad luck, get into	chuốc vạ vào thân
banana	chuối
areca banana (a kind of banana)	chuối cau
large meaty banana	chuối cơm
canna	chuối hoa
pip banana (a kind of banana)	chuối hột
plantain	chuối lá
red banana	chuối lửa
kind of banana (red, sweet, meaty)	chuối mật
king banana (a kind of banana)	chuối ngự
abaca	chuối sợi
large banana	chuối sứ
aromatic banana (a kind of banana)	chuối tiêu
banana (thick)	chuối tây
to slip away, steal off	chuồn
shed, shelter, stall, cage, stable, sty	chuồng
latrine	chuồng chồ
fowl-house	chuồng gà
breeding facilities	chuồng trại
latrine	chuồng xí
(1) string, series; (2) necklace, chain	chuỗi
peal of laughter	chuỗi cười
string of beads, rosary	chuỗi hạt
pearl necklace	chuỗi ngọc trai
a chain of restaurants or stores	chuỗi nhà hàng
key(stroke) combination	chuỗi phím
to buy back, bribe	chuộc
to ransom	chuộc mạng
to atone for one’s sins	chuộc tội
to value above other things, attach importance to	chuộng
mouse (also computer), rodent, rat	chuột
trackball (mouse)	chuột bi xoay
albinic mouse	chuột bạch
muskrat, shrew-mouse	chuột chù
mole	chuột chũi
sewer-rat, brown rat	chuột cống
guinea-pig	chuột lang
black rat	chuột nhà
mouse	chuột nhắt
cramp	chuột rút
city mouse	chuột thành phố
field-mouse	chuột đồng
field mouse, country mouse	chuột đồng quê
(1) (exclamation of surprise); (2) to crush, grind	chà
date, date-palm	chà là
producer	chà sản xuất
Javanese	chà và
to trample down, on; to crush	chà đạp
Oh!, It’s 12:00 already	chà, mười hai giờ rồi
Well, that’s troublesome isn’t it	chà, phiền nhỉ
casting and fishing net	chài lưới
(1) olive, (2) Champa, Cham, (3) indigo (dye)	chàm
(1) young man, fellow, guy; he him (of a young man); you (said by wife to husband); (2) chisel	chàng
tree frog	chàng hiu
to straddle	chàng hảng
to hesitate	chàng màng
veiling, net	chàng mạng
to delay, drag out, linger	chàng ràng
son in law	chàng rể
a young man	chàng thanh niên
(young) fellow, lad	chàng trai
he and she	chàng và nàng
open wide (one’s mouth)	chành
wide open	chành bành
clear, clear-cut	chành chạnh
hello, goodbye; to greet	chào
to salute the flag or colors	chào cờ
bid, offer	chào giá
to greet, be friendly	chào hỏi
red-whispered bulbul	chào mào
to welcome	chào mừng
to welcome guests	chào mừng quan khách
to welcome	chào đón
to be born	chào đời
to reason absurdly and obstinately, quibble	chày cối
bell-stick, wooden bell-hammer	chày kình
to barter	chác
(1) to have a lot of, plenty of; (2) to be sick of, tired of; dull, boring, uninteresting	chán
entirely satiated with	chán bứ
satisfied, plentiful	chán chê
tired of, sick of	chán chường
boring to death	chán chết
to dislike, hate, be sick of, detest	chán ghét
what a bore!, what a nuisance!	chán mớ đời
bored, (sick and) tired of, utterly discontented	chán ngán
be fed up with	chán ngấy
wearisome, monotonous	chán nhắt
disheartened, dispirited; to discourage, depress	chán nản
dull, monotonous	chán phè
how annoying, how bothersome, what a pain	chán quá
boring to listen to	chán tai
very many	chán vạn
tired of life, tired of living	chán đời
(1) chief, head; (2) see chính	chánh
chairman of examination board	chánh chủ khảo
speaker of the rural assembly	chánh hội
principal author of a crime	chánh phạm
government	chánh phủ
political power, authority, government	chánh quyền
fire chief	chánh sở cứu hỏa
chief envoy (of a feudal mission)	chánh sứ
official	chánh thức
canton chief	chánh tổng
judge	chánh án
federal judge	chánh án liên bang
rice gruel	cháo
plain rice gruel, plain rice soup	cháo hoa
fish gruel	cháo ám
acrid, acidy	chát
sharp	chát chúa
shockingly acrid	chát xít
grandchild, grandson, granddaughter, nephew, niece, my child	cháu
grandchildren and great-grandchildren, posterity	cháu chắt
wife of one’s grandson-wife of one’s nephew	cháu dâu
daughter, female child	cháu gái
if a child is bad, it is the mother’s fault (proverb)	cháu hư tại bà
child of one’s daughter, maternal grandchild	cháu ngoại
child of one’s son, paternal grandchild	cháu nội
nephew, niece (one’s brother’s or sister’s child)	cháu ruột
husband of one’s granddaughter, husband of one’s niece	cháu rể
son, male child	cháu trai
eldest son of one’s eldest son	cháu đích tôn
to burn	cháy
to blaze up, burst into flame(s), go up in flames	cháy bùng
to burn	cháy nám
suntanned, sunburned	cháy nắng
to completely burn	cháy rụi
licked up by the flame	cháy sém
disaster spreads, bystanders get hurt	cháy thành vạ lây
burn up completely, burn down	cháy trụi
carbonized	cháy đen
to criticize	châm biếm
to adjust, balance, allow for, excuse, forgive, overlook	châm chước
to sneer, taunt, indulge in personalities against	châm chọc
to light (a fire, match, cigarette)	châm lửa
phrase, expression, saying	châm ngôn
(1) foot, leg; member; (2) true, sincere, real, honest	chân
cutis, skincutis, skin	chân bì
to have one’s feet shackled, chained	chân bị cùm
to run at full tilt	chân bốn cẳng
pearl(s)	chân châu
true, genuine, authentic	chân chính
kind of chess game	chân chó
errand-boy	chân chạy
very simple-minded and truthful	chân chỉ hạt bột
bow-legged, splayed feet	chân chữ bát
to have one’s feet sticky with mud	chân dính bùn nhem nhép
to live in material comfort	chân giày chân dép
(pig’s) trotters	chân giò
leg (of a bed	chân giơừng
arthopod	chân khớp
telescopic legs	chân kiểu ống lòng
root (of hair)	chân lông
truth	chân lý
capital, funds	chân lưng
line of horizon, horizon	chân mây
enlightened monk	chân nhân
eternal truth	chân như
lame leg	chân què
country, country-like, country-folk	chân quê
fang, stump, root of the teeth	chân răng
boatman	chân sào
slender limbs	chân tai nhẳng
hands and feet	chân tay
to have skinny limbs	chân tay khẳng khiu
to have one’s hands and feel all mucky with mud	chân tay nhơ nhớp những bùn
loyal, sincere	chân thành
to sincerely apologize	chân thành cáo lôi
frank, candid, truthful, honest, genuine, true	chân thật
plebeian, commoner	chân trắng
horizon	chân trời
to be a true believer (monk, nun)	chân tu
true heart, sincerity	chân tâm
sincere or genuine feelings, sincerity	chân tình
sincere feeling	chân tình này
true nature	chân tính
root of a hair	chân tóc
tripodal (like the three legs of a cauldron), troika-like	chân vạc
screw-propeller	chân vịt
sincerity, truth	chân xác
sincerity, frankness	chân ý
continent, pearl	châu
America, American continent	châu Mỹ
Latin America	châu Mỹ La Tinh
Africa, the African continent	châu Phi
valuables	châu báu
tears	châu lệ
continent	châu lục
pearls and gem, something precious	châu ngọc
approve	châu phê
cinnabar	châu sa
city, shire-town	châu thành
happy marriage	châu trần
bullfrog	chão chàng
tea (leaves); tea (the beverage); kind of desert	chè
a pudding made of glutinous rice, ginger and	chè bà cốt
to drink	chè chén
kind of dessert made with sugar and grilled rice	chè cốm
flavored tea, scented tea	chè hương
tea flower buds	chè hạt
tea buds	chè hột
soft green-lentil cake	chè kho
weak tea	chè loãng
tea and cigarettes, baksheesh, bribe	chè lá
brown tea	chè mạn
tea bud	chè nụ
lotus tea, lotus compote	chè sen
Chinese tea	chè tàu
concoction of green tea leaves, fresh tea, tea, made with fresh tea	chè tươi
green tea	chè xanh
black tea	chè đen
tea with sugar	chè đường
type of dessert	chè đậu đen
green bean compote	chè đậu đãi
strong tea	chè đặc
to force (out of the way)	chèn
oust	chèn bẩy
to block, keep back, suppress	chèn ép
oar, paddle; to row, paddle	chèo
drongo	chèo bẻo
to invite with insistence, solicit	chèo kéo
row and steer, steer, guide	chèo lái
bow oars	chèo mũi
bow oars	chèo ngọn
middle oars	chèo phách
to cut, chop	chém
to massacre, slaughter	chém giết
to chop down(wards)	chém xuống
(1) cup, bowl, cupful; (2) to eat and drink	chén
dishes	chén bát
bowl of rice	chén cơm
a cup made of red precious	chén hà
tiny teacup	chén hạt mít
upper and lower classes	chén kiểu chén sành
cup made of tortoise shell	chén mồi
fire-pot	chén nung
farewell drink, parting cup	chén quan hà
cup of wine	chén quỳnh
marriage cup	chén thề
large tea cup (used to pour tea into smaller ones)	chén tống
eating bowl	chén ăn cơm
marriage toast	chén đồng
diagonal cloth, twill	chéo go
kerchief corner	chéo khăn
corner of a coat	chéo áo
(1) to write down, copy, transcribe, note; (2) carp (kind of fish); (3) to smack (one’s lips, mouth)	chép
handwritten; to write down, copy by hand	chép tay
flea, aphis; to fill a crack, hole	chét
handful, just big enough to lie in one’s hand	chét tay
to belittle, blame, find fault with, scorn, make little of	chê
to scorn, criticize, disparage	chê bai
dislike food	chê cơm
to ridicule, mock, scorn, laugh at	chê cười
to criticize, reproach	chê trách
to add in, break in, wedge in, insert	chêm
to break in, wedge in	chêm vào
oblique, tilted, slanted	chênh chếch
disproportionate, unequal, different; difference, gap	chênh lệch
gap between rich and poor	chênh lệch giầu nghèo
unstable, shaky	chênh vênh
lead (metal)	chì
motionless	chì bì
(1) key; (2) to stretch out, extend, show, produce	chìa
key	chìa khóa
turnkey	chìa khóa trao tay
car key	chìa khóa xe
to extend one’s hand, hold out one’s hand	chìa tay ra
to extend one's hand to greet	chìa tay ra đón ai
wagtail	chìa vôi
to sink (a ship), become submerged; hidden, concealed	chìm
to sink, go underwater	chìm lỉm
to sink deep	chìm nghỉm
sink, collapse, be flooded	chìm ngập
sink and float, ups and downs	chìm nổi
to sink down	chìm sâu xuống
to sink into	chìm vào
to sink into sleep, fall into a slumber	chìm vào giấc ngủ
to sink, go down	chìm xuống
to remain unsolved	chìm xuồng
engulfed in	chìm đấm
swell, swelling	chình ình
(1) will, volition; (2) to, up to	chí
public-spirited and selfless	chí công vô tư
bosom or sworn friend, sidekick, soul mate	chí cốt
sense of purpose	chí hướng
unfortunate, unhappy	chí khổ
god	chí linh
quite right	chí lý
for all one is worth	chí mạng
very dangerous	chí nguy
volunteer, volunteer troop	chí nguyện quân
humanity, humaneness, philanthropy, love of mankind	chí nhân
as to, as regards	chí như
quite right	chí phải
indomitable will, unbending will	chí quật cường
adventuring, sightseeing	chí tang bồng
sincere, frank, candid, open-hearted	chí thành
sage, wise man, man of wisdom	chí thánh
intimate	chí thân
tropic	chí tuyến
heartily, heartfelt	chí tâm
utmost, fatal, to the death	chí tử
at least, at the very least	chí ít
as to, with regard to	chí ư
to point, pick, draw, inject	chích
blackbird, magpie	chích chòe
to inoculate, immunize	chích ngừa
injection	chích thuốc
lonely shadow	chích ảnh
nine	chín
throne	chín bệ
ripened on the tree	chín cây
9 o’clock	chín giờ
heart	chín khúc
ninety five	chín mươi lăm
very, very much	chín nghìn
soft (because cooked too long or overripe)	chín nhũn
(of fruit) be too ripe, rotten, overripe	chín nẫu
be soiled soft, be boiled to pulp	chín rục
over-ripe	chín rữa
nether regions, underworld	chín suối
to be in the clouds, be on cloud nine	chín tầng mây
the nine levels of heaven	chín tầng trời
done to a turn	chín tới
yellow-ripened (fruits)	chín vàng
political world, circles	chíng giới
main, principle, chief; self, own; exactly, just, precisely	chính
coup (d’état), revolution, political upheaval, putsch	chính biến
original	chính bản
chief executive officer	chính chủ tịch
political program, political platform	chính cương
correct name, real name	chính danh
front	chính diện
orthodox religion	chính giáo
the world of politics, political circles	chính giới
genuine, real, authentic	chính hiệu
politician, statesman	chính khách
indomitable spirit, will, righteousness	chính khí
curricular subject, curricular time (assigned	chính khóa
political opinion, political view	chính kiến
political commentary; journalistic	chính luận
mainly because of	chính là do
highway, the right way	chính lộ
oneself	chính mình
justice; just, right	chính nghĩa
correct saying	chính ngôn
roll of regular employees	chính ngạch
excrement, waste	chính phân
square, quadratic	chính phương
